,지역구,강간,유사강간,강제추행,기타 강간 강제추행등,성풍속범죄,합계
0,강남구,181,38,464,2,414,1099
1,강동구,34,6,99,0,155,294
2,강북구,21,9,108,1,122,261
3,강서구,77,12,203,2,262,556
4,관악구,78,20,220,3,315,636
5,광진구,42,9,188,0,173,412
6,구로구,34,7,150,0,137,328
7,금천구,25,5,93,2,85,210
8,노원구,41,2,110,1,205,359
9,도봉구,10,4,74,0,95,183
10,동대문구,36,5,107,1,140,289
11,동작구,18,2,176,0,159,355
12,마포구,88,12,354,1,290,745
13,서대문구,46,12,97,1,110,266
14,서초구,55,9,340,2,223,629
15,성동구,22,6,92,0,131,251
16,성북구,25,7,105,2,173,312
17,송파구,64,7,233,1,252,557
18,양천구,32,5,74,0,131,242
19,영등포구,51,12,245,0,195,503
20,용산구,45,4,195,0,127,371
21,은평구,30,7,112,1,159,309
22,종로구,25,10,204,0,123,362
23,중구,30,4,182,0,108,324
24,중랑구,40,9,118,0,122,289
